Time, Disp
0.311,-20.0558
0.312,-20.8282
0.313,-21.5974
0.314,-22.3631
0.315,-23.1249
0.316,-23.8824
0.317,-24.6354
0.318,-25.3833
0.319,-26.126
0.32,-26.863
0.321,-27.594
0.322,-28.3186
0.323,-29.0365
0.324,-29.7474
0.325,-30.4508
0.326,-31.1466
0.327,-31.8342
0.328,-32.5135
0.329,-33.184
0.33,-33.8454
0.331,-34.4975
0.332,-35.1399
0.333,-35.7722
0.334,-36.3943
0.335,-37.0057
0.336,-37.6062
0.337,-38.1955
0.338,-38.7733
0.339,-39.3393
0.34,-39.8933
0.341,-40.4349
0.342,-40.9639
0.343,-41.48
0.344,-41.983
0.345,-42.4727
0.346,-42.9487
0.347,-43.4109
0.348,-43.859
0.349,-44.2928
0.35,-44.712
0.351,-45.1166
0.352,-45.5062
0.353,-45.8807
0.354,-46.2399
0.355,-46.5836
0.356,-46.9117
0.357,-47.2239
0.358,-47.5202
0.359,-47.8003
0.36,-48.0641
0.361,-48.3116
0.362,-48.5425
0.363,-48.7568
0.364,-48.9544
0.365,-49.1351
0.366,-49.2989
0.367,-49.4456
0.368,-49.5753
0.369,-49.6878
0.37,-49.7831
0.371,-49.8611
0.372,-49.9219
0.373,-49.9653
0.374,-49.9913
0.375,-50
0.376,-49.9913
0.377,-49.9653
0.378,-49.9219
0.379,-49.8611
0.38,-49.7831
0.381,-49.6878
0.382,-49.5753
0.383,-49.4456
0.384,-49.2989
0.385,-49.1351
0.386,-48.9544
0.387,-48.7568
0.388,-48.5425
0.389,-48.3116
0.39,-48.0641
0.391,-47.8003
0.392,-47.5202
0.393,-47.2239
0.394,-46.9117
0.395,-46.5836
0.396,-46.2399
0.397,-45.8807
0.398,-45.5062
0.399,-45.1166
0.4,-44.712
0.401,-44.2928
0.402,-43.859
0.403,-43.4109
0.404,-42.9487
0.405,-42.4727
0.406,-41.983
0.407,-41.48
0.408,-40.9639
0.409,-40.4349
0.41,-39.8933
0.411,-39.3393
0.412,-38.7733
0.413,-38.1955
0.414,-37.6062
0.415,-37.0057
0.416,-36.3943
0.417,-35.7722
0.418,-35.1399
0.419,-34.4975
0.42,-33.8454
0.421,-33.184
0.422,-32.5135
0.423,-31.8342
0.424,-31.1466
0.425,-30.4508
0.426,-29.7474
0.427,-29.0365
0.428,-28.3186
0.429,-27.594
0.43,-26.863
0.431,-26.126
0.432,-25.3833
0.433,-24.6354
0.434,-23.8824
0.435,-23.1249
0.436,-22.3631
0.437,-21.5974
0.438,-20.8282
0.439,-20.0558
0.44,-19.2806
0.441,-18.503
0.442,-17.7232
0.443,-16.9418
0.444,-16.1589
0.445,-15.3751
0.446,-14.5906
0.447,-13.8058
0.448,-13.0211
0.449,-12.2368
0.45,-11.4532
0.451,-10.6708
0.452,-9.88983
0.453,-9.11069
0.454,-8.3337
0.455,-7.55922
0.456,-6.78757
0.457,-6.01911
0.458,-5.25415
0.459,-4.49303
0.46,-3.73607
0.461,-2.98361
0.462,-2.23594
0.463,-1.4934
0.464,-0.756281
0.465,-0.024899
0.466,0.700448
0.467,1.41946
0.468,2.13186
0.469,2.83734
0.47,3.53564
0.471,4.22647
0.472,4.90956
0.473,5.58466
0.474,6.2515
0.475,6.90983
0.476,7.5594
0.477,8.19998
0.478,8.83133
0.479,9.45322
0.48,10.0654
0.481,10.6678
0.482,11.26
0.483,11.8419
0.484,12.4133
0.485,12.9741
0.486,13.524
0.487,14.0629
0.488,14.5905
0.489,15.1068
0.49,15.6117
0.491,16.1048
0.492,16.5862
0.493,17.0558
0.494,17.5132
0.495,17.9586
0.496,18.3917
0.497,18.8125
0.498,19.2208
0.499,19.6167
0.5,20
0.501,20.3707
0.502,20.7286
0.503,21.0739
0.504,21.4063
0.505,21.726
0.506,22.0328
0.507,22.3268
0.508,22.608
0.509,22.8762
0.51,23.1317
0.511,23.3743
0.512,23.6041
0.513,23.8211
0.514,24.0254
0.515,24.217
0.516,24.3959
0.517,24.5623
0.518,24.7162
0.519,24.8577
0.52,24.9868
0.521,25.1037
0.522,25.2084
0.523,25.3011
0.524,25.3819
0.525,25.4508
0.526,25.5081
0.527,25.5538
0.528,25.5881
0.529,25.6112
0.53,25.6231
0.531,25.6241
0.532,25.6143
0.533,25.5938
0.534,25.563
0.535,25.5219
0.536,25.4707
0.537,25.4096
0.538,25.3388
0.539,25.2586
0.54,25.1691
0.541,25.0706
0.542,24.9632
0.543,24.8473
0.544,24.7229
0.545,24.5904
0.546,24.45
0.547,24.3019
0.548,24.1463
0.549,23.9836
0.55,23.8139
0.551,23.6375
0.552,23.4547
0.553,23.2658
0.554,23.0709
0.555,22.8703
0.556,22.6644
0.557,22.4534
0.558,22.2375
0.559,22.017
0.56,21.7922
0.561,21.5634
0.562,21.3308
0.563,21.0947
0.564,20.8555
0.565,20.6132
0.566,20.3684
0.567,20.1211
0.568,19.8717
0.569,19.6205
0.57,19.3678
0.571,19.1137
0.572,18.8587
0.573,18.6029
0.574,18.3466
0.575,18.0902
0.576,17.8338
0.577,17.5777
0.578,17.3223
0.579,17.0677
0.58,16.8143
0.581,16.5622
0.582,16.3117
0.583,16.0632
0.584,15.8167
0.585,15.5727
0.586,15.3312
0.587,15.0926
0.588,14.8571
0.589,14.625
0.59,14.3963
0.591,14.1715
0.592,13.9506
0.593,13.7339
0.594,13.5216
0.595,13.3139
0.596,13.111
0.597,12.9132
0.598,12.7205
0.599,12.5331
0.6,12.3514
0.601,12.1753
0.602,12.0051
0.603,11.8409
0.604,11.683
0.605,11.5314
0.606,11.3862
0.607,11.2477
0.608,11.1159
0.609,10.991
0.61,10.8731
0.611,10.7623
0.612,10.6586
0.613,10.5623
0.614,10.4733
0.615,10.3918
0.616,10.3178
0.617,10.2514
0.618,10.1927
0.619,10.1417
0.62,10.0985
0.621,10.0631
0.622,10.0355
0.623,10.0158
0.624,10.0039
0.625,10
0.626,10.0039
0.627,10.0158
0.628,10.0355
0.629,10.0631
0.63,10.0985
0.631,10.1417
0.632,10.1927
0.633,10.2514
0.634,10.3178
0.635,10.3918
0.636,10.4733
